order_number,table_number,timestamp,items_summary,universal_comment,order_total,payment_method,printed_status,items_json
1,14,2025-08-22 07:00:00,,,8.40,Cash,All Copies Printed,"[{""name"": ""Latte"", ""quantity"": 2, ""itemPriceWithModifiers"": 4.2, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Almond Milk"", ""priceChange"": 0.4}]}]"
2,4,2025-08-22 07:23:00,,,2.50,Card,All Copies Printed,"[{""name"": ""Espresso"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.5, ""generalSelectedOptions"": []}]"
3,1,2025-08-22 07:44:00,,,18.50,Cash,All Copies Printed,"[{""name"": ""Croissant"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.1, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}, {""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Cappuccino"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.7, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Latte"", ""quantity"": 2, ""itemPriceWithModifiers"": 4.3, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Extra Shot"", ""priceChange"": 0.5}]}]"
4,15,2025-08-22 08:14:00,,,3.50,Card,All Copies Printed,"[{""name"": ""Latte"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.5, ""generalSelectedOptions"": []}]"
5,11,2025-08-22 08:20:00,,,6.70,Card,All Copies Printed,"[{""name"": ""Cappuccino"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.2, ""generalSelectedOptions"": []}, {""name"": ""Latte"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.5, ""generalSelectedOptions"": []}]"
6,7,2025-08-22 08:50:00,,,17.40,Card,All Copies Printed,"[{""name"": ""Croissant"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.2, ""generalSelectedOptions"": []}, {""name"": ""Tea"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.0, ""generalSelectedOptions"": []}, {""name"": ""Tea"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.0, ""generalSelectedOptions"": []}, {""name"": ""Espresso"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.5, ""generalSelectedOptions"": []}]"
7,5,2025-08-22 09:06:00,,,19.70,Card,All Copies Printed,"[{""name"": ""Tea"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.7, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Espresso"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.8, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}]}, {""name"": ""Espresso"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.5, ""generalSelectedOptions"": []}, {""name"": ""Cappuccino"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.2, ""generalSelectedOptions"": []}]"
8,10,2025-08-22 09:29:00,,,9.00,Cash,All Copies Printed,"[{""name"": ""Cappuccino"", ""quantity"": 1, ""itemPriceWithModifiers"": 4.0, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}, {""name"": ""Syrup"", ""priceChange"": 0.3}]}, {""name"": ""Espresso"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.5, ""generalSelectedOptions"": []}]"
9,8,2025-08-22 09:54:00,,,13.10,Card,All Copies Printed,"[{""name"": ""Espresso"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.4, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}, {""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Croissant"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.2, ""generalSelectedOptions"": []}, {""name"": ""Espresso"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.8, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}]}, {""name"": ""Espresso"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.5, ""generalSelectedOptions"": []}]"
10,3,2025-08-22 10:06:00,,,17.80,Card,All Copies Printed,"[{""name"": ""Toastie"", ""quantity"": 1, ""itemPriceWithModifiers"": 4.7, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Espresso"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.3, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Toastie"", ""quantity"": 2, ""itemPriceWithModifiers"": 4.9, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}, {""name"": ""Syrup"", ""priceChange"": 0.3}]}]"
11,8,2025-08-22 10:34:00,,,19.20,Card,All Copies Printed,"[{""name"": ""Espresso"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.3, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Croissant"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.2, ""generalSelectedOptions"": []}, {""name"": ""Cappuccino"", ""quantity"": 2, ""itemPriceWithModifiers"": 4.1000000000000005, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}, {""name"": ""Extra Shot"", ""priceChange"": 0.5}]}]"
12,1,2025-08-22 10:44:00,,,7.80,Cash,All Copies Printed,"[{""name"": ""Cappuccino"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.9000000000000004, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Almond Milk"", ""priceChange"": 0.4}]}]"
13,10,2025-08-22 11:03:00,,,6.40,Card,All Copies Printed,"[{""name"": ""Cappuccino"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.2, ""generalSelectedOptions"": []}]"
14,5,2025-08-22 11:27:00,,,9.90,Cash,All Copies Printed,"[{""name"": ""Latte"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.5, ""generalSelectedOptions"": []}, {""name"": ""Tea"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.9, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}, {""name"": ""Extra Shot"", ""priceChange"": 0.5}]}]"
15,10,2025-08-22 11:46:00,,,14.10,Card,All Copies Printed,"[{""name"": ""Tea"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.0, ""generalSelectedOptions"": []}, {""name"": ""Croissant"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.2, ""generalSelectedOptions"": []}, {""name"": ""Tea"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.5, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Toastie"", ""quantity"": 1, ""itemPriceWithModifiers"": 4.9, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Almond Milk"", ""priceChange"": 0.4}]}]"
16,13,2025-08-22 12:04:00,,,18.00,Cash,All Copies Printed,"[{""name"": ""Espresso"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.2, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}, {""name"": ""Syrup"", ""priceChange"": 0.3}]}, {""name"": ""Sandwich"", ""quantity"": 2, ""itemPriceWithModifiers"": 5.8, ""generalSelectedOptions"": []}]"
17,13,2025-08-22 12:25:00,,,4.20,Card,All Copies Printed,"[{""name"": ""Toastie"", ""quantity"": 1, ""itemPriceWithModifiers"": 4.2, ""generalSelectedOptions"": []}]"
18,2,2025-08-22 12:53:00,,,25.40,Cash,All Copies Printed,"[{""name"": ""Tea"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.0, ""generalSelectedOptions"": []}, {""name"": ""Espresso"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.9, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Toastie"", ""quantity"": 2, ""itemPriceWithModifiers"": 4.5, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}]}, {""name"": ""Latte"", ""quantity"": 2, ""itemPriceWithModifiers"": 4.3, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Extra Shot"", ""priceChange"": 0.5}]}]"
19,8,2025-08-22 13:05:00,,,9.30,Cash,All Copies Printed,"[{""name"": ""Toastie"", ""quantity"": 1, ""itemPriceWithModifiers"": 4.9, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}, {""name"": ""Syrup"", ""priceChange"": 0.3}]}, {""name"": ""Croissant"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.2, ""generalSelectedOptions"": []}]"
